mechanism,D,R,qhat,tauhat_driver,pihat_driver_cond,tauhat_rider,mhat,pbarhat
DA,20,20,0.73,6.057,10.481643835616438,6.057,14.6,13.102054794520548
DA,20,40,0.87,4.194,12.008275862068967,7.097,17.4,15.010344827586207
DA,40,20,0.45,7.8845,9.641333333333332,5.769,18.0,12.051666666666666
DA,40,40,0.725,6.0135000000000005,10.598344827586207,6.0135000000000005,29.0,13.24793103448276
FPb,20,20,0.76,10.0,8.0,10.0,15.2,10.0
FPb,20,40,0.78,10.0,8.0,10.0,15.6,10.0
FPb,40,20,0.33,10.0,8.0,10.0,13.2,10.0
FPb,40,40,0.66,10.0,8.0,10.0,26.4,10.0
FPi,20,20,0.67,3.52,8.0,3.52,13.4,10.0
FPi,20,40,0.88,1.5490000000000002,8.0,5.774500000000001,17.6,10.0
FPi,40,20,0.365,6.4879999999999995,8.0,2.9760000000000004,14.6,10.0
FPi,40,40,0.685,3.77,8.0,3.77,27.4,10.0
