session_id,mechanism,D,R,driver_id,c_j,matched,tau_driver,pay_driver,match_id
e785dcb7,DA,20,20,0,6.735137437795934,1,4.5,10.600000000000001,8
e785dcb7,DA,20,20,1,8.222463665765176,0,10.0,0.0,-1
e785dcb7,DA,20,20,2,9.742607679419807,0,10.0,0.0,-1
e785dcb7,DA,20,20,3,3.8077393899773604,1,4.4,10.719999999999999,7
e785dcb7,DA,20,20,4,7.992565188297577,0,10.0,0.0,-1
e785dcb7,DA,20,20,5,6.962603526623938,1,5.2,9.76,10
e785dcb7,DA,20,20,6,5.971713871126683,1,5.800000000000001,9.04,11
e785dcb7,DA,20,20,7,6.081629267129717,0,10.0,0.0,-1
e785dcb7,DA,20,20,8,4.610332647073713,0,10.0,0.0,-1
e785dcb7,DA,20,20,9,4.7198979990316605,1,3.2,12.16,5
e785dcb7,DA,20,20,10,10.303521053031826,1,0.1,15.880000000000003,0
e785dcb7,DA,20,20,11,6.7095736207160135,1,0.6000000000000001,15.280000000000001,2
e785dcb7,DA,20,20,12,4.989852913877573,1,4.0,11.200000000000001,6
e785dcb7,DA,20,20,13,2.23286195981092,1,2.7,12.76,4
e785dcb7,DA,20,20,14,4.260448729818457,1,9.0,5.2,14
e785dcb7,DA,20,20,15,4.9421296868923115,1,7.4,7.119999999999999,12
e785dcb7,DA,20,20,16,3.6209931245829807,1,0.30000000000000004,15.64,1
e785dcb7,DA,20,20,17,3.5532711503261383,1,4.7,10.36,9
e785dcb7,DA,20,20,18,8.418208460909796,1,2.2,13.36,3
e785dcb7,DA,20,20,19,5.480048734602372,1,7.9,6.52,13
86e2969d,DA,20,20,0,3.4057878700121234,1,1.4000000000000001,14.32,1
86e2969d,DA,20,20,1,10.890127750777962,0,10.0,0.0,-1
86e2969d,DA,20,20,2,9.821944041630971,0,10.0,0.0,-1
86e2969d,DA,20,20,3,5.344563482560469,1,5.7,9.16,8
86e2969d,DA,20,20,4,8.395465166850162,1,3.6,11.68,2
86e2969d,DA,20,20,5,14.67267403690368,0,10.0,0.0,-1
86e2969d,DA,20,20,6,12.059092593336791,0,10.0,0.0,-1
86e2969d,DA,20,20,7,7.789669588495639,1,4.800000000000001,10.24,5
86e2969d,DA,20,20,8,8.755797368515495,0,10.0,0.0,-1
86e2969d,DA,20,20,9,4.17445813049353,1,7.2,7.359999999999999,11
86e2969d,DA,20,20,10,8.314370763594278,1,1.4000000000000001,14.32,0
86e2969d,DA,20,20,11,7.920858954996369,1,6.1000000000000005,8.68,9
86e2969d,DA,20,20,12,7.535214675659911,1,5.1000000000000005,9.88,6
86e2969d,DA,20,20,13,4.075086473066145,1,4.3,10.840000000000002,4
86e2969d,DA,20,20,14,6.999094202728914,0,10.0,0.0,-1
86e2969d,DA,20,20,15,3.560247417453844,1,6.7,7.96,10
86e2969d,DA,20,20,16,6.418153016505458,0,10.0,0.0,-1
86e2969d,DA,20,20,17,9.171686914848625,0,10.0,0.0,-1
86e2969d,DA,20,20,18,6.978737710620136,1,3.8000000000000003,11.440000000000001,3
86e2969d,DA,20,20,19,8.729529253187668,1,5.2,9.76,7
30854e5d,DA,20,20,0,8.733661150063252,0,10.0,0.0,-1
30854e5d,DA,20,20,1,2.92466839191229,1,6.800000000000001,7.84,11
30854e5d,DA,20,20,2,5.065801236919529,1,6.7,7.96,10
30854e5d,DA,20,20,3,8.744275273575862,0,10.0,0.0,-1
30854e5d,DA,20,20,4,16.228768384150342,0,10.0,0.0,-1
30854e5d,DA,20,20,5,7.085276160706544,1,5.800000000000001,9.04,8
30854e5d,DA,20,20,6,5.084430076778691,1,2.5,13.0,2
30854e5d,DA,20,20,7,4.25091618772682,1,4.7,10.36,5
30854e5d,DA,20,20,8,5.088440886934131,1,0.30000000000000004,15.64,0
30854e5d,DA,20,20,9,6.28977871305303,0,10.0,0.0,-1
30854e5d,DA,20,20,10,9.281225284387057,0,10.0,0.0,-1
30854e5d,DA,20,20,11,8.39996537292221,1,4.9,10.12,6
30854e5d,DA,20,20,12,7.822665757062427,0,10.0,0.0,-1
30854e5d,DA,20,20,13,4.820261342780232,1,5.1000000000000005,9.88,7
30854e5d,DA,20,20,14,7.871548849548744,1,2.9000000000000004,12.52,3
30854e5d,DA,20,20,15,5.991350903907878,1,0.7000000000000001,15.16,1
30854e5d,DA,20,20,16,5.705370295664636,1,3.0,12.4,4
30854e5d,DA,20,20,17,2.7056834731007795,1,6.5,8.200000000000001,9
30854e5d,DA,20,20,18,5.899805179534431,1,7.5,7.0,12
30854e5d,DA,20,20,19,5.760309960817237,1,7.5,7.0,13
c6d79659,DA,20,20,0,5.125217076003088,1,5.2,9.76,8
c6d79659,DA,20,20,1,9.818754101012251,0,10.0,0.0,-1
c6d79659,DA,20,20,2,9.199047422046496,1,2.5,13.0,1
c6d79659,DA,20,20,3,4.152495495907577,1,6.5,8.200000000000001,13
c6d79659,DA,20,20,4,7.652880883670156,1,5.800000000000001,9.04,10
c6d79659,DA,20,20,5,6.696746787629311,1,5.1000000000000005,9.88,7
c6d79659,DA,20,20,6,3.524113878985023,1,8.1,6.280000000000001,16
c6d79659,DA,20,20,7,3.6921863202538026,1,6.300000000000001,8.44,11
c6d79659,DA,20,20,8,3.8706599639535497,1,2.2,13.36,0
c6d79659,DA,20,20,9,8.442830914643366,0,10.0,0.0,-1
c6d79659,DA,20,20,10,9.679081948190523,1,4.3,10.840000000000002,4
c6d79659,DA,20,20,11,3.944991057379813,1,7.1000000000000005,7.48,15
c6d79659,DA,20,20,12,8.74110561183196,1,5.0,10.0,6
c6d79659,DA,20,20,13,3.259622250124592,1,7.1000000000000005,7.48,14
c6d79659,DA,20,20,14,2.529327190688218,1,5.2,9.76,9
c6d79659,DA,20,20,15,8.324117972467288,1,3.4000000000000004,11.92,2
c6d79659,DA,20,20,16,12.398261024159458,0,10.0,0.0,-1
c6d79659,DA,20,20,17,5.022582010592241,1,6.4,8.319999999999999,12
c6d79659,DA,20,20,18,8.712601192217555,1,3.6,11.68,3
c6d79659,DA,20,20,19,3.5517269109917002,1,4.6000000000000005,10.48,5
6a6f92df,DA,20,20,0,2.657674926068113,1,7.4,7.119999999999999,14
6a6f92df,DA,20,20,1,11.397010877145396,0,10.0,0.0,-1
6a6f92df,DA,20,20,2,4.544461830801408,1,2.2,13.36,3
6a6f92df,DA,20,20,3,9.358003432789205,0,10.0,0.0,-1
6a6f92df,DA,20,20,4,6.12043858762772,1,7.2,7.359999999999999,13
6a6f92df,DA,20,20,5,4.740436538582503,1,4.1000000000000005,11.08,5
6a6f92df,DA,20,20,6,3.3848718287240924,1,4.7,10.36,8
6a6f92df,DA,20,20,7,2.570088613328967,1,4.2,10.96,6
6a6f92df,DA,20,20,8,8.722492221350826,1,0.7000000000000001,15.16,2
6a6f92df,DA,20,20,9,4.663855953053646,1,6.5,8.200000000000001,9
6a6f92df,DA,20,20,10,8.410253908867865,0,10.0,0.0,-1
6a6f92df,DA,20,20,11,4.412253099652048,1,6.6000000000000005,8.08,10
6a6f92df,DA,20,20,12,10.379129549176762,0,10.0,0.0,-1
6a6f92df,DA,20,20,13,4.299551798407217,1,2.3000000000000003,13.240000000000002,4
6a6f92df,DA,20,20,14,7.135161851795424,1,0.4,15.52,0
6a6f92df,DA,20,20,15,7.08038695417701,0,10.0,0.0,-1
6a6f92df,DA,20,20,16,9.243105169425808,1,4.6000000000000005,10.48,7
6a6f92df,DA,20,20,17,5.746742209926697,1,6.800000000000001,7.84,11
6a6f92df,DA,20,20,18,6.697426085455098,1,0.4,15.52,1
6a6f92df,DA,20,20,19,3.7389907059054317,1,7.0,7.6000000000000005,12
22a7d44f,DA,20,40,0,7.849121804002777,1,2.6,12.880000000000003,8
22a7d44f,DA,20,40,1,7.974834221464741,1,0.1,15.880000000000003,0
22a7d44f,DA,20,40,2,5.312890359350792,1,6.0,8.8,17
22a7d44f,DA,20,40,3,5.297589597997882,1,2.9000000000000004,12.52,9
22a7d44f,DA,20,40,4,5.492800305923472,1,5.5,9.4,15
22a7d44f,DA,20,40,5,9.124183261517553,1,1.5,14.200000000000001,5
22a7d44f,DA,20,40,6,10.802879629047405,0,10.0,0.0,-1
22a7d44f,DA,20,40,7,5.8223799216471575,1,5.9,8.92,16
22a7d44f,DA,20,40,8,7.120676816200759,1,1.9000000000000001,13.719999999999999,6
22a7d44f,DA,20,40,9,6.8346814410395424,1,0.7000000000000001,15.16,1
22a7d44f,DA,20,40,10,4.302041155130491,1,4.0,11.200000000000001,13
22a7d44f,DA,20,40,11,17.014558685688453,0,10.0,0.0,-1
22a7d44f,DA,20,40,12,5.56390533294402,1,4.4,10.719999999999999,14
22a7d44f,DA,20,40,13,7.71608959834334,1,1.0,14.8,2
22a7d44f,DA,20,40,14,4.551552402570441,1,2.6,12.880000000000003,7
22a7d44f,DA,20,40,15,6.014901471466625,1,1.1,14.680000000000001,3
22a7d44f,DA,20,40,16,6.912165172232114,1,1.3,14.440000000000001,4
