session_id,mechanism,D,R,match_id,rider_id,driver_id,t_accept,t_exec,p_rider,p_driver
e785dcb7,DA,20,20,0,5,10,0.1,0.1,19.85,15.880000000000003
e785dcb7,DA,20,20,1,17,16,0.30000000000000004,0.30000000000000004,19.55,15.64
e785dcb7,DA,20,20,2,11,11,0.6000000000000001,0.6000000000000001,19.1,15.280000000000001
e785dcb7,DA,20,20,3,7,18,2.2,2.2,16.7,13.36
e785dcb7,DA,20,20,4,4,13,2.7,2.7,15.95,12.76
e785dcb7,DA,20,20,5,2,9,3.2,3.2,15.2,12.16
e785dcb7,DA,20,20,6,18,12,4.0,4.0,14.0,11.200000000000001
e785dcb7,DA,20,20,7,13,3,4.4,4.4,13.399999999999999,10.719999999999999
e785dcb7,DA,20,20,8,16,0,4.5,4.5,13.25,10.600000000000001
e785dcb7,DA,20,20,9,9,17,4.7,4.7,12.95,10.36
e785dcb7,DA,20,20,10,3,5,5.2,5.2,12.2,9.76
e785dcb7,DA,20,20,11,1,6,5.800000000000001,5.800000000000001,11.299999999999999,9.04
e785dcb7,DA,20,20,12,10,15,7.4,7.4,8.899999999999999,7.119999999999999
e785dcb7,DA,20,20,13,12,19,7.9,7.9,8.149999999999999,6.52
e785dcb7,DA,20,20,14,14,14,9.0,9.0,6.5,5.2
86e2969d,DA,20,20,0,7,10,1.4000000000000001,1.4000000000000001,17.9,14.32
86e2969d,DA,20,20,1,3,0,1.4000000000000001,1.4000000000000001,17.9,14.32
86e2969d,DA,20,20,2,4,4,3.6,3.6,14.6,11.68
86e2969d,DA,20,20,3,5,18,3.8000000000000003,3.8000000000000003,14.3,11.440000000000001
86e2969d,DA,20,20,4,10,13,4.3,4.3,13.55,10.840000000000002
86e2969d,DA,20,20,5,19,7,4.800000000000001,4.800000000000001,12.799999999999999,10.24
86e2969d,DA,20,20,6,6,12,5.1000000000000005,5.1000000000000005,12.35,9.88
86e2969d,DA,20,20,7,1,19,5.2,5.2,12.2,9.76
86e2969d,DA,20,20,8,14,3,5.7,5.7,11.45,9.16
86e2969d,DA,20,20,9,17,11,6.1000000000000005,6.1000000000000005,10.85,8.68
86e2969d,DA,20,20,10,9,15,6.7,6.7,9.95,7.96
86e2969d,DA,20,20,11,8,9,7.2,7.2,9.2,7.359999999999999
30854e5d,DA,20,20,0,6,8,0.30000000000000004,0.30000000000000004,19.55,15.64
30854e5d,DA,20,20,1,16,15,0.7000000000000001,0.7000000000000001,18.95,15.16
30854e5d,DA,20,20,2,15,6,2.5,2.5,16.25,13.0
30854e5d,DA,20,20,3,8,14,2.9000000000000004,2.9000000000000004,15.649999999999999,12.52
30854e5d,DA,20,20,4,10,16,3.0,3.0,15.5,12.4
30854e5d,DA,20,20,5,2,7,4.7,4.7,12.95,10.36
