session_id,mechanism,R,D,alpha,kappa,lambda,T_end,dt,mu,p0,p_max,p_min,beta,T_batch,fpb_variant,m_s,seed
e785dcb7,DA,20,20,0.2,0.1,0.1,10.0,0.1,5.0,10.0,20.0,2.0,1.5,10.0,reserve,15,1234
86e2969d,DA,20,20,0.2,0.1,0.1,10.0,0.1,5.0,10.0,20.0,2.0,1.5,10.0,reserve,12,1235
30854e5d,DA,20,20,0.2,0.1,0.1,10.0,0.1,5.0,10.0,20.0,2.0,1.5,10.0,reserve,14,1236
c6d79659,DA,20,20,0.2,0.1,0.1,10.0,0.1,5.0,10.0,20.0,2.0,1.5,10.0,reserve,17,1237
6a6f92df,DA,20,20,0.2,0.1,0.1,10.0,0.1,5.0,10.0,20.0,2.0,1.5,10.0,reserve,15,1238
22a7d44f,DA,40,20,0.2,0.1,0.1,10.0,0.1,5.0,10.0,20.0,2.0,1.5,10.0,reserve,18,1239
a8f585f9,DA,40,20,0.2,0.1,0.1,10.0,0.1,5.0,10.0,20.0,2.0,1.5,10.0,reserve,16,1240
9badd2f9,DA,40,20,0.2,0.1,0.1,10.0,0.1,5.0,10.0,20.0,2.0,1.5,10.0,reserve,17,1241
4adbbea7,DA,40,20,0.2,0.1,0.1,10.0,0.1,5.0,10.0,20.0,2.0,1.5,10.0,reserve,16,1242
adb270b1,DA,40,20,0.2,0.1,0.1,10.0,0.1,5.0,10.0,20.0,2.0,1.5,10.0,reserve,20,1243
95300833,DA,20,40,0.2,0.1,0.1,10.0,0.1,5.0,10.0,20.0,2.0,1.5,10.0,reserve,16,1244
39cbf0e8,DA,20,40,0.2,0.1,0.1,10.0,0.1,5.0,10.0,20.0,2.0,1.5,10.0,reserve,20,1245
0f9cac4f,DA,20,40,0.2,0.1,0.1,10.0,0.1,5.0,10.0,20.0,2.0,1.5,10.0,reserve,19,1246
9b41956d,DA,20,40,0.2,0.1,0.1,10.0,0.1,5.0,10.0,20.0,2.0,1.5,10.0,reserve,17,1247
e0824fcf,DA,20,40,0.2,0.1,0.1,10.0,0.1,5.0,10.0,20.0,2.0,1.5,10.0,reserve,18,1248
17b4f125,DA,40,40,0.2,0.1,0.1,10.0,0.1,5.0,10.0,20.0,2.0,1.5,10.0,reserve,28,1249
a34b4518,DA,40,40,0.2,0.1,0.1,10.0,0.1,5.0,10.0,20.0,2.0,1.5,10.0,reserve,26,1250
f68c744c,DA,40,40,0.2,0.1,0.1,10.0,0.1,5.0,10.0,20.0,2.0,1.5,10.0,reserve,29,1251
105e064f,DA,40,40,0.2,0.1,0.1,10.0,0.1,5.0,10.0,20.0,2.0,1.5,10.0,reserve,34,1252
f6022243,DA,40,40,0.2,0.1,0.1,10.0,0.1,5.0,10.0,20.0,2.0,1.5,10.0,reserve,28,1253
ea21fbf2,FPi,20,20,0.2,0.1,0.1,10.0,0.1,5.0,10.0,20.0,2.0,1.5,10.0,reserve,12,1254
83f8aad4,FPi,20,20,0.2,0.1,0.1,10.0,0.1,5.0,10.0,20.0,2.0,1.5,10.0,reserve,14,1255
7707b9e7,FPi,20,20,0.2,0.1,0.1,10.0,0.1,5.0,10.0,20.0,2.0,1.5,10.0,reserve,14,1256
19053a59,FPi,20,20,0.2,0.1,0.1,10.0,0.1,5.0,10.0,20.0,2.0,1.5,10.0,reserve,16,1257
be94fe5f,FPi,20,20,0.2,0.1,0.1,10.0,0.1,5.0,10.0,20.0,2.0,1.5,10.0,reserve,11,1258
512abbe6,FPi,40,20,0.2,0.1,0.1,10.0,0.1,5.0,10.0,20.0,2.0,1.5,10.0,reserve,16,1259
beb517d7,FPi,40,20,0.2,0.1,0.1,10.0,0.1,5.0,10.0,20.0,2.0,1.5,10.0,reserve,19,1260
4248e64a,FPi,40,20,0.2,0.1,0.1,10.0,0.1,5.0,10.0,20.0,2.0,1.5,10.0,reserve,18,1261
7032a4dd,FPi,40,20,0.2,0.1,0.1,10.0,0.1,5.0,10.0,20.0,2.0,1.5,10.0,reserve,17,1262
83f7f016,FPi,40,20,0.2,0.1,0.1,10.0,0.1,5.0,10.0,20.0,2.0,1.5,10.0,reserve,18,1263
89e64da7,FPi,20,40,0.2,0.1,0.1,10.0,0.1,5.0,10.0,20.0,2.0,1.5,10.0,reserve,15,1264
29e4fafc,FPi,20,40,0.2,0.1,0.1,10.0,0.1,5.0,10.0,20.0,2.0,1.5,10.0,reserve,18,1265
ddac803b,FPi,20,40,0.2,0.1,0.1,10.0,0.1,5.0,10.0,20.0,2.0,1.5,10.0,reserve,13,1266
2f3c2415,FPi,20,40,0.2,0.1,0.1,10.0,0.1,5.0,10.0,20.0,2.0,1.5,10.0,reserve,14,1267
a967c6aa,FPi,20,40,0.2,0.1,0.1,10.0,0.1,5.0,10.0,20.0,2.0,1.5,10.0,reserve,13,1268
6c43e372,FPi,40,40,0.2,0.1,0.1,10.0,0.1,5.0,10.0,20.0,2.0,1.5,10.0,reserve,31,1269
2c2af7c8,FPi,40,40,0.2,0.1,0.1,10.0,0.1,5.0,10.0,20.0,2.0,1.5,10.0,reserve,28,1270
57886282,FPi,40,40,0.2,0.1,0.1,10.0,0.1,5.0,10.0,20.0,2.0,1.5,10.0,reserve,27,1271
cb67a254,FPi,40,40,0.2,0.1,0.1,10.0,0.1,5.0,10.0,20.0,2.0,1.5,10.0,reserve,22,1272
bc393751,FPi,40,40,0.2,0.1,0.1,10.0,0.1,5.0,10.0,20.0,2.0,1.5,10.0,reserve,29,1273
3d2891f5,FPb,20,20,0.2,0.1,0.1,10.0,0.1,5.0,10.0,20.0,2.0,1.5,10.0,reserve,15,1274
30c456e9,FPb,20,20,0.2,0.1,0.1,10.0,0.1,5.0,10.0,20.0,2.0,1.5,10.0,reserve,13,1275
bef1a5db,FPb,20,20,0.2,0.1,0.1,10.0,0.1,5.0,10.0,20.0,2.0,1.5,10.0,reserve,16,1276
b85b6272,FPb,20,20,0.2,0.1,0.1,10.0,0.1,5.0,10.0,20.0,2.0,1.5,10.0,reserve,16,1277
6905fa0e,FPb,20,20,0.2,0.1,0.1,10.0,0.1,5.0,10.0,20.0,2.0,1.5,10.0,reserve,16,1278
463ca6d2,FPb,40,20,0.2,0.1,0.1,10.0,0.1,5.0,10.0,20.0,2.0,1.5,10.0,reserve,16,1279
98b09615,FPb,40,20,0.2,0.1,0.1,10.0,0.1,5.0,10.0,20.0,2.0,1.5,10.0,reserve,17,1280
a37a6df3,FPb,40,20,0.2,0.1,0.1,10.0,0.1,5.0,10.0,20.0,2.0,1.5,10.0,reserve,16,1281
541ef808,FPb,40,20,0.2,0.1,0.1,10.0,0.1,5.0,10.0,20.0,2.0,1.5,10.0,reserve,14,1282
88754032,FPb,40,20,0.2,0.1,0.1,10.0,0.1,5.0,10.0,20.0,2.0,1.5,10.0,reserve,15,1283
35443161,FPb,20,40,0.2,0.1,0.1,10.0,0.1,5.0,10.0,20.0,2.0,1.5,10.0,reserve,9,1284
50bcc3ab,FPb,20,40,0.2,0.1,0.1,10.0,0.1,5.0,10.0,20.0,2.0,1.5,10.0,reserve,16,1285
1b278167,FPb,20,40,0.2,0.1,0.1,10.0,0.1,5.0,10.0,20.0,2.0,1.5,10.0,reserve,12,1286
36910bd1,FPb,20,40,0.2,0.1,0.1,10.0,0.1,5.0,10.0,20.0,2.0,1.5,10.0,reserve,15,1287
2c89f3c2,FPb,20,40,0.2,0.1,0.1,10.0,0.1,5.0,10.0,20.0,2.0,1.5,10.0,reserve,14,1288
b315c3c6,FPb,40,40,0.2,0.1,0.1,10.0,0.1,5.0,10.0,20.0,2.0,1.5,10.0,reserve,28,1289
c4f58ce3,FPb,40,40,0.2,0.1,0.1,10.0,0.1,5.0,10.0,20.0,2.0,1.5,10.0,reserve,24,1290
b96a7197,FPb,40,40,0.2,0.1,0.1,10.0,0.1,5.0,10.0,20.0,2.0,1.5,10.0,reserve,28,1291
2ee73c3b,FPb,40,40,0.2,0.1,0.1,10.0,0.1,5.0,10.0,20.0,2.0,1.5,10.0,reserve,24,1292
89be293c,FPb,40,40,0.2,0.1,0.1,10.0,0.1,5.0,10.0,20.0,2.0,1.5,10.0,reserve,28,1293
